Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2019-02-14,3631.170166,3646.256592,3607.697754,3616.880859,6271044418,7390.25,7454.419922,7375.709961,7426.950195,2117500000,1305,1311.8,1301.6,1309.8,858,-1
2019-02-15,3617.368408,3647.795166,3608.206543,3620.810791,6091952231,7468.569824,7477.279785,7440.259766,7472.410156,2263640000,1313.6,1318.8,1313.6,1318.1,190,1
2019-02-16,3615.270264,3652.841309,3615.270264,3629.787598,5934744052,7468.569824,7477.279785,7440.259766,7472.410156,2263640000,1313.6,1318.8,1313.6,1318.1,190,1
2019-02-17,3633.359375,3680.537354,3619.182129,3673.836182,7039512503,7468.569824,7477.279785,7440.259766,7472.410156,2263640000,1313.6,1318.8,1313.6,1318.1,190,1
2019-02-18,3671.369873,3936.665039,3669.982422,3915.714355,9908216640,7468.569824,7477.279785,7440.259766,7472.410156,2263640000,1313.6,1318.8,1313.6,1318.1,190,1
2019-02-19,3911.661621,4010.879395,3908.153076,3947.094482,9933626655,7450.75,7507.790039,7450.27002,7486.77002,2124140000,1320.9,1340.1,1320.5,1340.1,390,1
2019-02-20,3946.685059,4000.486328,3926.246826,3999.820557,8693373948,7490.310059,7513.700195,7455.25,7489.069824,2202670000,1342.2,1344,1338,1343.3,581,1
2019-02-21,4000.256836,4010.009521,3940.108154,3954.118164,7775128102,7475.410156,7485.75,7430.890137,7459.709961,2144680000,1331.3,1334.9,1320.9,1323.5,414,-1
2019-02-22,3952.406494,4006.53833,3950.816406,4005.526611,7826525254,7481.629883,7527.540039,7479.009766,7527.540039,2428560000,1324.2,1331.3,1321,1329.2,718,1
2019-02-23,3998.91626,4166.286133,3968.726807,4142.526855,8922258316,7481.629883,7527.540039,7479.009766,7527.540039,2428560000,1324.2,1331.3,1321,1329.2,718,1
